cod_parroquia,provincia,canton,parroquia,direccion_busqueda,lat,lon
040161,CARCHI,TULCÁN,SANTA MARTHA DE CUBA,"SANTA MARTHA DE CUBA, TULCÁN, CARCHI, Ecuador",0.6480092,-77.7623739
040250,CARCHI,BOLÍVAR,BOLÍVAR,"BOLÍVAR, BOLÍVAR, CARCHI, Ecuador",0.5014538,-77.90364029999999
040251,CARCHI,BOLÍVAR,GARCÍA MORENO,"GARCÍA MORENO, BOLÍVAR, CARCHI, Ecuador",0.5014916,-77.9035753
040252,CARCHI,BOLÍVAR,LOS ANDES,"LOS ANDES, BOLÍVAR, CARCHI, Ecuador",0.4864983,-77.96244349999999
040253,CARCHI,BOLÍVAR,MONTE OLIVO,"MONTE OLIVO, BOLÍVAR, CARCHI, Ecuador",0.39105,-77.85833699999999
040254,CARCHI,BOLÍVAR,SAN VICENTE DE PUSIR,"SAN VICENTE DE PUSIR, BOLÍVAR, CARCHI, Ecuador",0.4866220000000001,-78.0309542
040255,CARCHI,BOLÍVAR,SAN RAFAEL,"SAN RAFAEL, BOLÍVAR, CARCHI, Ecuador",0.4310379,-77.91674569999999
040350,CARCHI,ESPEJO,EL ÁNGEL,"EL ÁNGEL, ESPEJO, CARCHI, Ecuador",0.6183138,-77.94245310000001
040350,CARCHI,ESPEJO,EL ÁNGEL,"EL ÁNGEL, ESPEJO, CARCHI, Ecuador",0.6183138,-77.94245310000001
040351,CARCHI,ESPEJO,EL GOALTAL,"EL GOALTAL, ESPEJO, CARCHI, Ecuador",0.7557952,-78.13363799999999
040352,CARCHI,ESPEJO,LA LIBERTAD,"LA LIBERTAD, ESPEJO, CARCHI, Ecuador",0.6542488000000001,-77.9438811
040353,CARCHI,ESPEJO,SAN ISIDRO,"SAN ISIDRO, ESPEJO, CARCHI, Ecuador",0.5975607,-77.9852853
040450,CARCHI,MIRA,MIRA,"MIRA, MIRA, CARCHI, Ecuador",0.5502201999999999,-78.0409416
040451,CARCHI,MIRA,CONCEPCIÓN,"CONCEPCIÓN, MIRA, CARCHI, Ecuador",0.6441574999999999,-78.0880129
040452,CARCHI,MIRA,JIJÓN Y CAAMAÑO,"JIJÓN Y CAAMAÑO, MIRA, CARCHI, Ecuador",0.7718499999999999,-78.26480099999999
040453,CARCHI,MIRA,JUAN MONTALVO,"JUAN MONTALVO, MIRA, CARCHI, Ecuador",0.5485087,-78.0410539
040550,CARCHI,MONTÚFAR,SAN GABRIEL,"SAN GABRIEL, MONTÚFAR, CARCHI, Ecuador",0.5948949,-77.8281514
040550,CARCHI,MONTÚFAR,SAN GABRIEL,"SAN GABRIEL, MONTÚFAR, CARCHI, Ecuador",0.5948949,-77.8281514
040551,CARCHI,MONTÚFAR,CRISTÓBAL COLÓN,"CRISTÓBAL COLÓN, MONTÚFAR, CARCHI, Ecuador",0.6070116,-77.81171069999999
040552,CARCHI,MONTÚFAR,CHITÁN DE NAVARRETE,"CHITÁN DE NAVARRETE, MONTÚFAR, CARCHI, Ecuador",0.6573932,-77.8081363
040553,CARCHI,MONTÚFAR,FERNÁNDEZ SALVADOR,"FERNÁNDEZ SALVADOR, MONTÚFAR, CARCHI, Ecuador",0.5553298,-77.71659249999999
040554,CARCHI,MONTÚFAR,LA PAZ,"LA PAZ, MONTÚFAR, CARCHI, Ecuador",0.5232434,-77.8481628
040555,CARCHI,MONTÚFAR,PIARTAL,"PIARTAL, MONTÚFAR, CARCHI, Ecuador",0.5554022,-77.7509303
